Line,Count
1,20
2,23
3,23
4,24
5,26
6,28
7,30
8,30
9,30
10,43
11,44
12,45
13,46
14,46
15,46
16,50
17,54
18,57
19,57
20,58
21,59
22,61
23,62
24,65
25,63
26,63
27,65
28,66
29,67
30,65
31,65
32,66
33,74
34,75
35,75
36,76
37,79
38,75
39,75
40,85
41,76
42,77
43,81
44,85
45,84
46,84
47,85
48,85
49,86
50,86
51,74
52,68
53,68
54,69
55,67
56,70
57,69
58,67
59,69
60,72
61,80
62,81
63,82
64,81
65,71
66,74
67,71
68,70
69,69
70,70
71,72
72,71
73,72
74,72
75,77
76,75
77,73
78,71
79,70
80,62
81,62
82,62
83,72
84,72
85,53
86,52
87,42
88,40
89,38
90,38
91,39
92,37
93,37
94,41
95,46
96,48
97,50
98,50
99,50
100,50
101,51
102,51
103,51
104,44
105,43
106,41
107,40
108,40
109,30
110,33
111,33
112,32
113,34
114,35
115,38
116,40
117,41
118,42
119,42
120,46
121,47
122,48
123,49
124,48
125,47
126,47
127,47
128,47
129,45
130,43
131,43
132,44
133,45
134,43
135,45
136,45
137,45
138,45
139,47
140,47
141,45
142,44
143,45
144,45
145,46
146,47
147,47
148,38
149,38
150,38
151,38
152,38
153,35
154,34
155,41
156,43
157,43
158,44
159,44
160,45
161,57
162,60
163,64
164,70
165,75
166,77
167,77
168,79
169,77
170,67
171,66
172,65
173,65
174,65
175,66
176,65
177,65
178,62
179,56
180,50
181,53
182,55
183,59
184,52
185,55
186,65
187,66
188,66
189,66
190,67
191,59
192,59
193,57
194,43
195,45
196,48
197,51
198,51
199,51
200,53
201,54
202,54
203,55
204,57
205,54
206,54
207,55
208,57
209,58
210,54
211,55
212,55
213,51
214,46
215,33
216,31
217,28
218,26
219,23
